SMILES,CID,descriptors,datasets
CC(C)C(=O)OCC(=C)C,69953,"['sharp', 'fresh sweet-fruity', 'harsh-pineapple-like', 'diffusive-ethereal odor', 'ethereal', 'fruity', 'fresh', 'pineapple', 'sweet']","[""leffingwell""]"
CC(C)C(=O)OCC(C)C1=CC=CC=C1,576240,"['woody', 'fruity', 'floral', 'fragrant', 'mango', 'papaya', 'pineapple', 'tropical', 'lemon', 'nature', 'non-citrusfruity', 'sweet']","[""arctander_1960"", ""sharma_2021b""]"
CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2,62580,"['plum', 'berry', 'fruity', 'jammy', 'powdery', 'tropical', 'heliotrope', 'sweet', 'berry-like odor', 'berry-like', 'preserve taste', 'floral', 'fragrant', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'softfloral', 'terpenes', 'pine']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCC1=CC=C(C=C1)OC,117035,"['fruity', 'floral', 'berry', 'honey', 'sweet', 'mildly fruity']","[""arctander_1960"", ""ifra_2019"", ""leffingwell""]"
CC(C)C(=O)OCC1=CC=CC=C1,7646,"['fruity', 'floral', 'fruity-floral', 'sweet', 'juicy', 'rose', 'oily', 'powdery', 'jasmin', 'tropical', 'woody', 'floral odor and a sweet', 'fruity berry-like taste', 'aromatic', 'herbal', 'buildingmaterials&construction', 'jasmine', 'fragrant', 'grassy', 'herbaceous', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'non-fooditems', 'popcorn', 'softfloral', 'terpenes', 'pine', 'vegetation', 'resinous']","[""arctander_1960"", ""aromadb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCC1=CC=CO1,80454,"['coffee', 'fruity', 'quince-like taste at 20 ppm', 'fragrant', 'lemon', 'nature', 'restaurant', 'sweet', 'woody']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCC1=CCC2CC1C2(C)C,119853,"['woody', 'fruity', 'pine', 'buildingmaterials&construction', 'fragrant', 'grassy', 'lemon', 'nature', 'popcorn', 'sweet', 'terpenes']","[""goodscents"", ""sharma_2021b""]"
CC(C)C(=O)OCC=C,85071,"['fresh', 'fruity', 'green', 'tropical', 'apple', 'apricot']","[""leffingwell""]"
CC(C)C(=O)OCC=C(C)C,173535,"['blueberry', 'chrysanthemum', 'honey', 'fruity', 'pineapple', 'pomegranate', 'raspberry', 'fruit dried fruit', 'fruity plum', 'berry-like', 'green', 'waxy', 'buttery odor', 'berry', 'plum', 'buttery', 'caramel', 'floral', 'fragrant', 'dried fruit', 'lemon', 'nature', 'non-citrusfruity', 'sweet']","[""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCC=C(C)CCC=C(C)C,16864,"['rose', 'fruity', 'acid', 'floral']","[""arctander_1960"", ""aromadb""]"
CC(C)C(=O)OCC=CC1=CC=CC=C1,7663,"['plum', 'fruity', 'balsamic', 'banana']","[""arctander_1960""]"
CC(C)C(=O)OCCC(C)CCC=C(C)C,60985,"['citrus', 'rose', 'fruity', 'rosy-fruity', 'fruit', 'sweet', 'floral', 'green', 'geranium', 'tropical', 'rose-like with citrus-apricot-tropical taste', 'fragrant', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'terpenes', 'pine']","[""arctander_1960"", ""aromadb"", ""flavornet"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCCC(C)CCCC(=C)C,61085,"['rosy-fruity aroma', 'rose', 'fruity', 'sweet', 'natural', 'rose red rose', 'spicy', 'floral', 'geranium', 'tropical', 'floral (rose) odor', 'sweet fruity pieneapple-apple taste', 'food', 'spices', 'fragrant', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'other', 'terpenes', 'pine', 'woody', 'resinous']","[""aromadb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCCC1=CC=CC=C1,7655,"['rose', 'fruity', 'fruity-rosy', 'tea', 'floral', 'pastry', 'peach', 'honey', 'floral-rosy odor', 'honey-berry-floral', 'winey', 'pear taste', 'balsamic', 'caramel', 'fragrant', 'lemon', 'microbiological', 'yeasty', 'nature', 'rancid', 'putrid', 'sweet', 'waxy']","[""arctander_1960"", ""aromadb"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCCC1CCCCC1,347744,"['powerful', 'sweet', 'deep-fruity', 'almost jam-like odor', 'fruity']","[""leffingwell""]"
CC(C)C(=O)OCCCC1=CC=CC=C1,7662,"['fruity', 'balsamic', 'sweet', 'fermented', 'plum', 'honey', 'osmanthus', 'apricot', 'juicy fruit', 'jammy', 'bready', 'sugar', 'fruit dried fruit', 'tropical', 'balsamic spicy odor', 'spicy taste', 'spicy', 'caramel', 'floral', 'foul', 'fragrant', 'juicy', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'terpenes', 'pine']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OCCCC1CCCCC1,3023280,"['metallic', 'fruity', 'green', 'buildingmaterials&construction', 'fragrant', 'lemon', 'nature', 'nosefeel', 'sweet']","[""goodscents"", ""sharma_2021b""]"
CC(C)C(=O)OCCCCCCCCCC=C,244473,"['winey', 'plum', 'fruity', 'oily']","[""arctander_1960""]"
CC(C)C(=O)OCCOC1=CC=CC=C1,61005,"['rose', 'metallic', 'floral', 'fruity', 'honey', 'sweet', 'apple', 'powdery', 'green', 'tropical', 'waxy', 'floral-honey-like odor', 'fruity waxy apple-chamomile like taste', 'caramel', 'fragrant', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'softfloral', 'terpenes', 'pine']","[""arctander_1960"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)OC[C@@]1([C@H]([C@@H]([C@H](O1)COC(=O)C)OC(=O)C(C)C)OC(=O)C(C)C)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C,2735139,['odorless'],"[""sharma_2021b""]"
CC(C)C(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,174490,"['nutty', 'earthy', 'camphoraceous', 'spicy', 'herbal', 'fir needle', 'balsamic', 'woody', 'herbal earthy-nutty', 'pine cone like', 'fruity odor', 'pine', 'fruity', 'camphoreous', 'aromatic', 'buildingmaterials&construction', 'musty', 'moldy', 'food', 'spices', 'fragrant', 'grassy', 'herbaceous', 'lemon', 'minty', 'camphor', 'nature', 'plants', 'popcorn', 'sharp', 'pungent', 'sweet', 'terpenes', 'vegetation', 'resinous']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(=O)SC,537722,"['fruity', 'sharp']","[""goodscents""]"
CC(C)C(=O)SCC=C(C)C,71438214,"['sulfurous', 'fruity', 'passion fruit', 'durian', 'tropical', 'chemical', 'hydrocarbon', 'sulphurous', 'fragrant', 'durain', 'lemon', 'marshy', 'septic', 'nature', 'sickening', 'sulphur', 'cabbage', 'garlic', 'sweet']","[""goodscents"", ""sharma_2021b""]"
CC(C)C(=O)SCSC,53471898,"['sulfurous', 'roasted', 'green-vegetative notes', 'cheese & tropical fruit', 'vegetable', 'green', 'fruity', 'tropical', 'cheesy']","[""leffingwell""]"
CC(C)C(=S)OC,13716562,"['sulfurous', 'fruity']","[""leffingwell""]"
CC(C)C(=S)OCC=C,140029897,"['powerful tropical fruity', 'pineapple in dilution', 'fruity', 'pineapple', 'tropical']","[""leffingwell""]"
CC(C)C(=S)OCC=C(C)C,122423558,"['sulfurous', 'fruity', 'tropical fruit connotation', 'durian', 'passionfruit notes', 'tropical']","[""leffingwell""]"
CC(C)C(C(=O)C)S,19802217,"['black currant', 'currant black currant', 'berry', 'fruity', 'blackcurrant']","[""flavornet"", ""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C(C(=O)O)N,1182,"['fishy aroma??????', 'fishy', 'odorless', 'almost odorless', 'sweet', 'bread-like taste']","[""aromadb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(C(C)C)O,11752,"['sweet', 'solventy', 'alcoholic', 'solvent']","[""leffingwell""]"
CC(C)C(C)(C(C)C)C(=O)NC,65300,"['cooling', 'minty', 'mentholic', 'lemon', 'cool', 'menthol', 'pungent', 'sweet', 'terpenes', 'pine']","[""goodscents"", ""sharma_2021b""]"
CC(C)C(C)(C(C)C)O,520484,"['no aroma', 'fragrant', 'fruity', 'lemon', 'nature', 'sweet']","[""aromadb"", ""sharma_2021b""]"
CC(C)C(C)(C1=CC=CC=C1)O,138212,"['green', 'floral']","[""arctander_1960""]"
CC(C)C(C)C(=O)C1=CC=CC=C1,10941446,"['herbal', 'woody', 'floral']","[""arctander_1960""]"
CC(C)C(C)C(C)(C)O,18280,"['fruity', 'earthy', 'somewhat camphoraceous', 'camphoreous']","[""goodscents"", ""leffingwell""]"
CC(C)C(C)CCC(C)(C)O,10176244,"['floral', 'fruity', 'freesia', 'fragrant', 'lemon', 'nature', 'sweet']","[""goodscents"", ""sharma_2021b""]"
CC(C)C(C)CCCCCCCCC=O,21290465,"['waxy', 'aldehydic', 'floral']","[""arctander_1960""]"
CC(C)C(C)O,11732,"['musty', 'vegetable', 'cocoa', 'vegetables', 'fruity', 'cider', 'impacting', 'fusel', 'cheese', 'alcoholic', 'cheesy', 'ethereal fusel notes', 'fermented & yeasty', 'solvent', 'ethereal', 'fermented', 'chemical', 'hydrocarbon', 'alcohol', 'chocolate', 'dairy', 'earthy', 'moldy', 'food', 'fragrant', 'lemon', 'medicinal', 'nature', 'popcorn', 'pungent', 'sharp', 'sweet', 'vegetation', 'woody', 'resinous']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(C)S,519823,"['sulfury', 'mercaptan-like odor', 'cooked beef in dilution', 'sulfurous', 'beefy', 'meaty', 'bakery', 'roasted', 'burnt', 'chemical', 'hydrocarbon', 'rubbery', 'sulphurous', 'dairy', 'cheese', 'food', 'foul', 'repulsive', 'fuel', 'gasstation', 'solvent', 'marshy', 'septic', 'nature', 'non-vegetarian', 'pork', 'popcorn', 'restaurant', 'chicken', 'coffee', 'salty', 'savory', 'sickening', 'sulphur', 'cabbage', 'garlic', 'woody']","[""leffingwell"", ""sharma_2021b""]"
CC(C)C(C1=CC=CC=C1)O,95626,"['woody', 'rose']","[""arctander_1960""]"
CC(C)C(C=O)C1=CC=CC=C1,12255414,"['green', 'fruity', 'fruity odor', 'fruity-floral taste', 'fragrant', 'lemon', 'nature', 'sweet']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C(CC1=CC=CC=C1)O,98019,"['earthy', 'green', 'floral']","[""arctander_1960""]"
CC(C)C(CC1=CC=CC=C1)OC(=O)C,15584855,"['green', 'fruity', 'balsamic']","[""arctander_1960""]"
CC(C)C(CC=C(C)C)C=O,93979,"['herbal', 'woody', 'minty']","[""arctander_1960""]"
CC(C)C(CCC(=O)C)/C=C/C(=C)C,5319691,"['carrot', 'hay-like', 'tea-like aromatic', 'tobacco', 'hay', 'tea', 'aromatic', 'drywoods', 'fragrant', 'fruity', 'melon', 'grassy', 'woody', 'herbaceous', 'lemon', 'nature', 'sweet', 'tobaccosmoke', 'vegetables']","[""leffingwell"", ""sharma_2021b""]"
CC(C)C(CCC(C)O)CCC(=O)C,537619,"['dry', 'woody']","[""goodscents""]"
CC(C)C(CCC(C)O)CCC(C)O,21498028,"['woody', 'animal']","[""goodscents""]"
CC(C)C(CCC1=CC=CC=C1)O,109369,"['woody', 'green', 'floral']","[""arctander_1960""]"
CC(C)C(OC)OC,15619,"['fresh', 'ethereal', 'somewhat fruity', 'malty', 'fermented apple-like note', 'apple', 'fruity', 'fermented']","[""leffingwell""]"
CC(C)C/C(=C/CC/C(=C/C=O)/C)/C,6436719,"['chemical', 'hydrocarbon', 'aldehydic', 'floral', 'fragrant', 'fruity', 'lemon', 'nature', 'sweet', 'waxy']","[""sharma_2021b""]"
CC(C)C/C=C(/C=O)\C(C)C,5362661,"['blueberry', 'herbal', 'lavender', 'green', 'tomato', 'woody', 'herbaceous', 'cocoa', 'earthy', 'blueberry character', 'aromatic', 'buildingmaterials&construction', 'chocolate', 'musty', 'moldy', 'food', 'fragrant', 'fruity', 'berry', 'grassy', 'popcorn', 'sharp', 'pungent', 'vegetables', 'vegetation', 'resinous']","[""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C/C=C(/C=O)\C1=CC=CC=C1,5370602,"['cocoa', 'sweet', 'aldehydic', 'butter rancid', 'nutty', 'fruity', 'brown', 'green', 'bitter', 'nut skin', 'chocolate', 'cocoa like odor and taste', 'caramel']","[""aromadb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C/C=C(/CO)\C(C)C,6434275,"['herbal', 'fresh', 'woody', 'minty', 'rosemary', 'aromatic', 'buildingmaterials&construction', 'floral', 'rose', 'fragrant', 'grassy', 'herbaceous', 'popcorn', 'sweet', 'terpenes', 'pine', 'lemon', 'vegetation', 'resinous']","[""goodscents"", ""sharma_2021b""]"
CC(C)C/C=C(/CSC)\C=O,21999737,"['onion', 'meaty', 'powerful onion meat to soup-like aroma', 'spicy', 'herbal', 'alliaceous', 'aromatic', 'food', 'spices', 'fragrant', 'herbaceous', 'marshy', 'septic', 'sulphurous', 'minty', 'non-vegetarian', 'sickening', 'vegetables', 'vegetation', 'woody', 'resinous']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C/C=C(\COC(=O)C)/C(C)C,6434276,"['herbal', 'minty', 'fresh', 'woody', 'aromatic', 'buildingmaterials&construction', 'fragrant', 'grassy', 'herbaceous', 'popcorn', 'sweet', 'terpenes', 'pine', 'lemon', 'vegetation', 'resinous']","[""goodscents"", ""sharma_2021b""]"
CC(C)C/C=C/C(=O)C,5462986,"['herbal', 'fruity', 'oily', 'green', 'tropical', 'herbaceous', 'fresh ketonic', 'ketonic', 'fresh', 'aromatic', 'fragrant', 'lemon', 'nature', 'non-fooditems', 'popcorn', 'sweet', 'vegetation', 'woody', 'resinous']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C,86137,['odorless'],"[""sharma_2021b""]"
CC(C)C1(CCCCC1)OC(=O)C,67890804,"['woody-minty', 'sweet-camphoraceous', 'fruity', 'camphoreous', 'woody', 'sweet', 'mint']","[""leffingwell""]"
CC(C)C1(OC2=CC=CC=C2O1)C(C)C,13555721,"['geranium', 'rose']","[""arctander_1960""]"
CC(C)C12CC1C(=C)C(C2)O,564260,"['woody', 'balsamic', 'ambre']","[""arctander_1960""]"
CC(C)C12CCC(=C)C1C2,18818,"['woody', 'herbal', 'oily', 'pepper', 'spicy', 'wood', 'turpentine', 'terpenic', 'camphoreous', 'green', 'pine', 'citrus', 'spicy terpenic citrusy', 'buildingmaterials&construction', 'food', 'spices', 'fragrant', 'fruity', 'grassy', 'lemon', 'minty', 'camphor', 'non-fooditems', 'plants', 'popcorn', 'terpenes', 'resinous']","[""arctander_1960"", ""aromadb"", ""flavornet"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C12CCC(C1C2)(C)O,62367,"['balsamic', 'balsam', 'spicy', 'herbal', 'eucalyptus', 'terpenic', 'cooling', 'green', 'minty', 'fragrant', 'fruity', 'herbaceous', 'sweet', 'terpenes', 'pine', 'lemon']","[""aromadb"", ""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C12CCC(C=C1)(C(C2)C(=O)OC)C,106713,"['dry', 'dank', 'sawdust', 'clean', 'mahogany', 'woody', 'spicy', 'peppery']","[""goodscents"", ""ifra_2019""]"
CC(C)C12CCC(C=C1)(OO2)C,10545,"['herbal', 'minty']","[""arctander_1960""]"
CC(C)C12CCC(O1)(CC2)C,10106,"['camphoraceous', 'camphor', 'lime', 'minty', 'oil', 'spice', 'herbal', 'terpenic', 'eucalyptus', 'cooling', 'camphoreous', 'green', 'pine', 'fresh pine camphoraceous odor', 'fresh', 'food', 'spices', 'fragrant', 'fruity', 'herbaceous', 'lemon', 'cool', 'pungent', 'sweet', 'vanilla', 'terpenes', 'woody', 'resinous']","[""arctander_1960"", ""aromadb"", ""flavordb"", ""flavornet"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=C(C(=C2C(=C1)CCC2(C)C)C(C)C)O,90248,['musky'],"[""arctander_1960""]"
CC(C)C1=C(C(=CC=C1)C(C)C)O,4943,"['phenolic', 'mild', 'medicinal', 'woody']","[""goodscents"", ""sharma_2021b""]"
CC(C)C1=C(C=CC=N1)C(=O)C,86280216,"['grassy-green leaf', 'green herbal', 'somewhat violet odor', 'useful in mint', 'grassy', 'green', 'violet', 'herbal', 'leafy']","[""leffingwell""]"
CC(C)C1=CC(=C(C(=C1)OC)O)O,134491069,"['tarry', 'mossy', 'smoky']","[""arctander_1960""]"
CC(C)C1=CC(=C(C=C1)CC=O)C(C)C,153900859,['musky'],"[""arctander_1960""]"
CC(C)C1=CC(=CC(=C1)C(=O)C)C(C)C,18705074,"['herbal', 'winey', 'ambre']","[""arctander_1960""]"
CC(C)C1=CC(=CC(=C1)C=O)C(C)C,21407712,"['herbal', 'woody', 'ambre']","[""arctander_1960""]"
CC(C)C1=CC(=CC=C1)C(C)CC=O,86209,"['lily of the valley', 'floral', 'muguet', 'fresh', 'green', 'linden flower', 'marine', 'lily', 'fragrant', 'fruity', 'nature']","[""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C1=CC(=CC=C1)O,12059,"['phenolic-medicinal', 'animalic', 'leathery odor', 'phenolic', 'medicinal', 'leathery', 'animal']","[""leffingwell""]"
CC(C)C1=CC(=CC=C1)OC(=O)NC,6143,['odorless'],"[""sharma_2021b""]"
CC(C)C1=CC(=NC=C1)C(=O)C,529345,"['leafy aroma', 'leafy', 'herbal', 'violet', 'grassy', 'green', 'aromatic', 'floral', 'fragrant', 'fruity', 'woody', 'grassy(green', 'sharp)', 'herbaceous', 'terpenes', 'pine', 'lemon', 'vegetation', 'resinous']","[""aromadb"", ""goodscents"", ""sharma_2021b""]"
CC(C)C1=CC(=O)C(=CC=C1)O,3611,"['woody', 'phenolic', 'mossy', 'buildingmaterials&construction', 'grassy', 'medicinal', 'popcorn']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,89316,"['wood', 'mild woody balsamic', 'spicy', 'woody', 'balsamic']","[""flavornet"", ""leffingwell""]"
CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C)C,86869,"['woody', 'spicy', 'herbal', 'aromatic', 'buildingmaterials&construction', 'food', 'spices', 'fragrant', 'grassy', 'herbaceous', 'minty', 'popcorn', 'vegetation', 'resinous']","[""goodscents"", ""sharma_2021b""]"
CC(C)C1=CC2=C(C=C1)N=CC=C2,67285,"['woody', 'earthy', 'rooty', 'spicy', 'metallic', 'leafy', 'cortex', 'weedy', 'nutty', 'phenolic', 'green', 'buildingmaterials&construction', 'musty', 'moldy', 'fragrant', 'fruity', 'medicinal', 'nosefeel', 'popcorn', 'sharp', 'pungent', 'vegetation', 'weed', 'resinous']","[""arctander_1960"", ""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C1=CC2=C(C=C1)OCC(=O)CO2,22934582,"['watery', 'fruity', 'clean', 'marine']","[""goodscents""]"
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,10569,"['acetic', 'mild', 'chemical', 'hydrocarbon']","[""goodscents"", ""sharma_2021b""]"
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)OC(=O)[C@@]4(CCC[C@]5([C@H]4CC=C6[C@@H]5CCC(=C6)C(C)C)C)C)C,15379203,"['woody', 'balsamic', 'mild']","[""goodscents""]"
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)OC)C,173058,"['woody', 'pine', 'balsamic', 'odorless']","[""arctander_1960"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)/C=C(\C)/C=O,6436105,"['floral', 'green', 'spicy']","[""ifra_2019""]"
CC(C)C1=CC=C(C=C1)/C=C/C=O,5354897,"['food', 'spices', 'minty', 'mossywoods', 'amber', 'softoriental', 'woody', 'resinous']","[""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)C#N,26289,"['dry', 'spicy', 'cumin', 'green', 'food', 'spices', 'fragrant', 'fruity', 'minty', 'vegetables', 'cucumber', 'woody', 'resinous']","[""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)C(=O)C,12578,"['herbal', 'woody', 'orris', 'herbaceous', 'spicy', 'cumin-basil', 'orris odor', 'spicy & slightly fruity taste', 'aromatic', 'buildingmaterials&construction', 'food', 'spices', 'fragrant', 'grassy', 'minty', 'plants', 'popcorn', 'vegetation', 'resinous']","[""arctander_1960"", ""aromadb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)C(=O)O,10820,"['woody', 'green', 'spicy']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)C(C)C=O,118146,"['woody', 'green', 'floral', 'herbal', 'leafy', 'fresh', 'aldehydic', 'green-leafy', 'sap-like or twig-like', 'somewhat herbaceous-floral', 'chemical', 'hydrocarbon', 'fragrant', 'fruity', 'vegetation']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)C(C)CC=O,7687,"['green', 'floral', 'strong', 'green vegetable odor', 'melon-cantaloupe taste', 'vegetable']","[""arctander_1960"", ""leffingwell""]"
CC(C)C1=CC=C(C=C1)C(OC)OC,105591,"['herbal', 'green', 'winey', 'oily']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)C=C(C)C=O,70024,"['herbal', 'musty', 'leafy']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)C=C(C=O)C(C)C,79017038,"['leafy', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)C=CC=O,95595,"['amber', 'spicy']","[""goodscents""]"
CC(C)C1=CC=C(C=C1)C=O,326,"['animal', 'herbal', 'green', 'spicy', 'wood', 'woody', 'acid', 'sharp', 'cumin', 'pungent', 'herbaceous', 'characteristic cumin-like odor and taste', 'aromatic', 'buildingmaterials&construction', 'food', 'spices', 'foul', 'fragrant', 'fruity', 'grassy', 'grassy(green', 'sharp)', 'lemon', 'minty', 'non-fooditems', 'oily', 'nosefeel', 'popcorn', 'sickening', 'vegetables', 'cucumber', 'vegetation', 'resinous']","[""arctander_1960"", ""aromadb"", ""flavornet"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)CC(=O)O,78230,['herbal'],"[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CC(C)(C)O,22063486,"['green', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CC(C)C2OCCO2,175216,"['green', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CC(C)C=NC2=CC=CC=C2C(=O)OC,101555,"['lily of the valley', 'floral', 'fresh', 'neroli', 'orangeflower', 'muguet', 'citrus', 'orange', 'orange blossom', 'fragrant', 'nature', 'plants']","[""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)CC(C)C=O,517827,"['floral aroma??', 'floral', 'cyclamen', 'musty', 'rhubarb', 'fresh', 'green', 'earthy', 'moldy', 'food', 'vegetable', 'fragrant', 'fruity', 'nature', 'popcorn', 'sharp', 'pungent', 'vegetables', 'woody', 'resinous']","[""aromadb"", ""goodscents"", ""ifra_2019"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)CC(C)CO,107334,"['green', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CC(C)COC(=O)C,14298599,"['balsamic', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CC=O,61359,"['woody', 'green', 'aldehydic', 'foliage', 'cortex', 'earthy', 'cumin', 'leafy', 'woody-bark-sappy odor', 'bitter sweet citrus fruity taste', 'chemical', 'hydrocarbon', 'musty', 'moldy', 'fragrant', 'fruity', 'popcorn', 'sharp', 'pungent', 'spices', 'vegetation', 'resinous']","[""arctander_1960"", ""aromadb"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)CCC=O,62654,"['green', 'floral', 'melon', 'fruity', 'fresh', 'muguet', 'strong', 'sweet', 'floral odor', 'sweet green fruity taste', 'fragrant', 'lemon', 'nature']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)CCO,82349,"['herbal', 'floral', 'oily']","[""arctander_1960""]"
CC(C)C1=CC=C(C=C1)CO,325,"['spicy', 'oily', 'caraway', 'wood', 'herb', 'herbal', 'leathery', 'cumin', 'sweet', 'aromatic', 'caraway-cumin-like odor', 'spicy-cinnamon taste', 'floral', 'food', 'spices', 'fragrant', 'herbaceous', 'minty', 'nature', 'non-fooditems', 'leather', 'other', 'strong', 'vegetables', 'cucumber', 'vegetation', 'woody', 'resinous']","[""arctander_1960"", ""aromadb"", ""flavornet"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)COC(=O)C,100990,"['herbal', 'woody', 'sweet', 'fruity', 'fresh', 'bergamot', 'refreshing', 'sweet herbaceous fruity with bergamot notes', 'aromatic', 'citrus', 'fragrant', 'herbaceous', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'terpenes', 'pine', 'vegetation', 'resinous']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(C=C1)O,7465,"['woody', 'medicinal', 'spicy', 'warm', 'phenolic-medicinal', 'odor', 'burnt taste at 0.1 ppm in sugar syrup', 'phenolic', 'buildingmaterials&construction', 'chemical', 'hydrocarbon', 'food', 'spices', 'grassy', 'alcohol', 'minty', 'popcorn', 'sweet', 'resinous']","[""arctander_1960"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
CC(C)C1=CC=C(CC1)C=O,526762,"['spicy aroma??????', 'spicy', 'fat', 'spice', 'fatty', 'aromatic', 'herbal', 'food', 'spices', 'fragrant', 'herbaceous', 'minty', 'popcorn', 'cumin', 'vegetation', 'woody', 'resinous']","[""aromadb"", ""flavornet"", ""goodscents"", ""sharma_2021b""]"
CC(C)C1=CC=CC(=C1)CC=O,74010,"['foliage', 'cortex', 'privet', 'green', 'woody', 'buildingmaterials&construction', 'floral', 'fragrant', 'fruity', 'grassy', 'plants', 'popcorn', 'vegetation']","[""goodscents"", ""sharma_2021b""]"
CC(C)C1=CC=CC2=C1N=CC=C2,80933,"['tobacco', 'floral']","[""arctander_1960""]"
CC(C)C1=CC=CC=C1,7406,"['green', 'chemical', 'hydrocarbon', 'gasoline', 'shoe polish', 'fuel', 'gasstation', 'solvent', 'lemon', 'sharp', 'nosefeel', 'other', 'penetrating', 'pungent', 'sickening']","[""arctander_1960"", ""sharma_2021b""]"
